product,store,date,demand
cordless screwdriver_1,Store_1,2024-02-26,156
cordless screwdriver_1,Store_1,2024-03-04,152
cordless screwdriver_1,Store_1,2024-03-11,138
cordless screwdriver_1,Store_1,2024-03-18,145
cordless screwdriver_1,Store_1,2024-03-25,161
cordless screwdriver_1,Store_1,2024-04-01,131
cordless screwdriver_1,Store_1,2024-04-08,145
cordless screwdriver_1,Store_1,2024-04-15,159
cordless screwdriver_1,Store_1,2024-04-22,141
cordless screwdriver_1,Store_1,2024-04-29,144
cordless screwdriver_1,Store_1,2024-05-06,149
cordless screwdriver_1,Store_1,2024-05-13,159
cordless screwdriver_1,Store_1,2024-05-20,145
cordless screwdriver_1,Store_1,2024-05-27,147
cordless screwdriver_1,Store_1,2024-06-03,147
cordless screwdriver_1,Store_1,2024-06-10,164
cordless screwdriver_1,Store_1,2024-06-17,167
cordless screwdriver_1,Store_2,2024-02-26,91
cordless screwdriver_1,Store_2,2024-03-04,84
cordless screwdriver_1,Store_2,2024-03-11,73
cordless screwdriver_1,Store_2,2024-03-18,75
cordless screwdriver_1,Store_2,2024-03-25,95
cordless screwdriver_1,Store_2,2024-04-01,64
cordless screwdriver_1,Store_2,2024-04-08,82
cordless screwdriver_1,Store_2,2024-04-15,87
cordless screwdriver_1,Store_2,2024-04-22,80
cordless screwdriver_1,Store_2,2024-04-29,78
cordless screwdriver_1,Store_2,2024-05-06,78
cordless screwdriver_1,Store_2,2024-05-13,96
cordless screwdriver_1,Store_2,2024-05-20,78
cordless screwdriver_1,Store_2,2024-05-27,81
cordless screwdriver_1,Store_2,2024-06-03,74
cordless screwdriver_1,Store_2,2024-06-10,102
cordless screwdriver_1,Store_2,2024-06-17,102
cordless screwdriver_1,Store_3,2024-02-26,143
cordless screwdriver_1,Store_3,2024-03-04,137
cordless screwdriver_1,Store_3,2024-03-11,115
cordless screwdriver_1,Store_3,2024-03-18,121
cordless screwdriver_1,Store_3,2024-03-25,152
cordless screwdriver_1,Store_3,2024-04-01,108
cordless screwdriver_1,Store_3,2024-04-08,124
cordless screwdriver_1,Store_3,2024-04-15,146
cordless screwdriver_1,Store_3,2024-04-22,127
cordless screwdriver_1,Store_3,2024-04-29,122
cordless screwdriver_1,Store_3,2024-05-06,128
cordless screwdriver_1,Store_3,2024-05-13,151
cordless screwdriver_1,Store_3,2024-05-20,127
cordless screwdriver_1,Store_3,2024-05-27,124
cordless screwdriver_1,Store_3,2024-06-03,124
cordless screwdriver_1,Store_3,2024-06-10,159
cordless screwdriver_1,Store_3,2024-06-17,161
cordless screwdriver_1,Store_4,2024-02-26,121
cordless screwdriver_1,Store_4,2024-03-04,117
cordless screwdriver_1,Store_4,2024-03-11,101
cordless screwdriver_1,Store_4,2024-03-18,113
cordless screwdriver_1,Store_4,2024-03-25,127
cordless screwdriver_1,Store_4,2024-04-01,93
cordless screwdriver_1,Store_4,2024-04-08,110
cordless screwdriver_1,Store_4,2024-04-15,128
cordless screwdriver_1,Store_4,2024-04-22,102
cordless screwdriver_1,Store_4,2024-04-29,109
cordless screwdriver_1,Store_4,2024-05-06,118
cordless screwdriver_1,Store_4,2024-05-13,122
cordless screwdriver_1,Store_4,2024-05-20,108
cordless screwdriver_1,Store_4,2024-05-27,111
cordless screwdriver_1,Store_4,2024-06-03,115
cordless screwdriver_1,Store_4,2024-06-10,128
cordless screwdriver_1,Store_4,2024-06-17,129
cordless screwdriver_1,Store_5,2024-02-26,171
cordless screwdriver_1,Store_5,2024-03-04,163
cordless screwdriver_1,Store_5,2024-03-11,146
cordless screwdriver_1,Store_5,2024-03-18,156
cordless screwdriver_1,Store_5,2024-03-25,177
cordless screwdriver_1,Store_5,2024-04-01,137
cordless screwdriver_1,Store_5,2024-04-08,158
cordless screwdriver_1,Store_5,2024-04-15,173
cordless screwdriver_1,Store_5,2024-04-22,152
cordless screwdriver_1,Store_5,2024-04-29,155
